experiment,scenario,baseline,simInsts,numCycles,ipc,cpi,speedup,l1d_hits,l1d_misses,l1d_miss_rate,l1d_mpki,l1i_hits,l1i_misses,l1i_miss_rate,l1i_mpki,l2_hits,l2_misses,l2_miss_rate,l2_mpki
l1_size,matmul_l1_16k,matmul_l1_16k,26728189,53448864,0.50007,1.999719,1.0,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,67603,993,0.014476,0.037152
l1_size,matmul_l1_32k,matmul_l1_16k,26728189,53445199,0.500105,1.999582,1.000069,15344490,63331,0.00411,2.369446,37074034,559,1.5e-05,0.020914,66307,993,0.014755,0.037152
l1_size,matmul_l1_64k,matmul_l1_16k,26728189,52630283,0.507848,1.969093,1.015553,15407273,548,3.6e-05,0.020503,37074034,559,1.5e-05,0.020914,3216,995,0.236286,0.037227
l2_size,matmul_l2b_32k,matmul_l2b_32k,26728189,62604541,0.426937,2.342266,1.0,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,4192,64404,0.938889,2.409591
l2_size,matmul_l2b_64k,matmul_l2b_32k,26728189,53498247,0.499609,2.001566,1.170217,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,67249,1347,0.019637,0.050396
l2_size,matmul_l2b_128k,matmul_l2b_32k,26728189,53454510,0.500017,1.99993,1.171174,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,67593,1003,0.014622,0.037526
l2_size,matmul_l2b_256k,matmul_l2b_32k,26728189,53448864,0.50007,1.999719,1.171298,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,67603,993,0.014476,0.037152
memory_cfg,matmul_mem_ddr3_1600,matmul_mem_ddr3_1600,26728189,62604541,0.426937,2.342266,1.0,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,4192,64404,0.938889,2.409591
memory_cfg,matmul_mem_ddr3_2133,matmul_mem_ddr3_1600,26728189,62115391,0.430299,2.323966,1.007875,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,4194,64402,0.938859,2.409516
memory_cfg,matmul_mem_ddr4_2400,matmul_mem_ddr3_1600,26728189,62431620,0.428119,2.335797,1.00277,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,4192,64404,0.938889,2.409591
l1d_assoc,matmul_assoc_l1d2,matmul_assoc_l1d2,26728189,57975034,0.461029,2.16906,1.0,14999600,408221,0.026494,15.273051,37074027,566,1.5e-05,0.021176,411520,1405,0.003403,0.052566
l1d_assoc,matmul_assoc_l1d4,matmul_assoc_l1d2,26728189,53523104,0.499377,2.002496,1.083178,15342183,65638,0.00426,2.455759,37074027,566,1.5e-05,0.021176,69017,1342,0.019074,0.050209
l1d_assoc,matmul_assoc_l1d8,matmul_assoc_l1d2,26728189,53494494,0.499644,2.001426,1.083757,15344272,63549,0.004124,2.377602,37074027,566,1.5e-05,0.021176,67258,1338,0.019506,0.05006
